Title,Product Link,Image URL,Price
ON-THE-WAY BAG,https://www.aritzia.com/en/product/on-the-way-bag/103243.html?dwvar_103243_color=1274,https://assets.aritzia.com/image/upload/medium/s23_19_n08_103243_1274_on_a.jpg,$14.99
CHILL DAYTONA HEADBAND,https://www.aritzia.com/en/product/chill-daytona-headband/115509.html?dwvar_115509_color=10230,https://assets.aritzia.com/image/upload/medium/s24_03_n02_115509_10230_on_a.jpg,$7.50-$15
POLARTEC® POWER STRETCH® GLOVES,https://www.aritzia.com/en/product/polartec%C2%AE-power-stretch%C2%AE-gloves/114413.html?dwvar_114413_color=1274,https://assets.aritzia.com/image/upload/medium/f24_n07_114413_1274_on_a.jpg,$38
SOFTSET™ STUDIO PRO CREW SOCK 3-PACK,https://www.aritzia.com/en/product/softset%E2%84%A2-studio-pro-crew-sock-3-pack/124247.html?dwvar_124247_color=34708,https://assets.aritzia.com/image/upload/medium/s25_n06_124247_34708_off_a.jpg,$35
SOFTSET™ STUDIO PRO ANKLE SOCK 3-PACK,https://www.aritzia.com/en/product/softset%E2%84%A2-studio-pro-ankle-sock-3-pack/124246.html?dwvar_124246_color=1275,https://assets.aritzia.com/image/upload/medium/s25_n06_124246_1275_off_a.jpg,$35
SOFTSET™ BEST-EVER SLOUCHY CREW SOCK,https://www.aritzia.com/en/product/softset%E2%84%A2-best-ever-slouchy-crew-sock/124042.html?dwvar_124042_color=1275,https://assets.aritzia.com/image/upload/medium/s25_n06_124042_1275_off_a.jpg,$15
SOFTSET™ STUDIO PRO NO-SHOW SOCK 3-PACK,https://www.aritzia.com/en/product/softset%E2%84%A2-studio-pro-no-show-sock-3-pack/124245.html?dwvar_124245_color=1274,https://assets.aritzia.com/image/upload/medium/s25_n06_124245_1274_off_a.jpg,$28
SOFTSET™ BEST-EVER SLOUCHY ANKLE SOCK,https://www.aritzia.com/en/product/softset%E2%84%A2-best-ever-slouchy-ankle-sock/124043.html?dwvar_124043_color=1274,https://assets.aritzia.com/image/upload/medium/s25_n06_124043_1274_off_a.jpg,$15
SOFTSET™ BEST-EVER NO-SHOW SOCK 3-PACK,https://www.aritzia.com/en/product/softset%E2%84%A2-best-ever-no-show-sock-3-pack/126477.html?dwvar_126477_color=1274,https://assets.aritzia.com/image/upload/medium/s25_n06_126477_1274_off_a.jpg,$28
SHAPELOCK TRAIN CREW SOCK 3-PACK,https://www.aritzia.com/en/product/shapelock-train-crew-sock-3-pack/123665.html?dwvar_123665_color=1275,https://assets.aritzia.com/image/upload/medium/s25_n06_123665_1275_on_a.jpg,$28
SHAPELOCK TRAIN TAB SOCK 3-PACK,https://www.aritzia.com/en/product/shapelock-train-tab-sock-3-pack/116270.html?dwvar_116270_color=1274,https://assets.aritzia.com/image/upload/medium/s25_n06_116270_1274_on_a.jpg,$25
BUTTER EXERT SLIM HEADBAND,https://www.aritzia.com/en/product/butter-exert-slim-headband/124040.html?dwvar_124040_color=1274,https://assets.aritzia.com/image/upload/medium/f24_n02_124040_1274_on_a.jpg,$15
SOFTSET™ BEST-EVER ANKLE SOCK 3-PACK,https://www.aritzia.com/en/product/softset%E2%84%A2-best-ever-ankle-sock-3-pack/124045.html?dwvar_124045_color=1274,https://assets.aritzia.com/image/upload/medium/s25_n06_124045_1274_off_a.jpg,$35
POWERSCULPT™ EXERT HEADBAND,https://www.aritzia.com/en/product/powersculpt%E2%84%A2-exert-headband/123967.html?dwvar_123967_color=30398,https://assets.aritzia.com/image/upload/medium/f24_n02_123967_1274_on_a.jpg,$6.99
MERINO WOOL SHORT SKULL BEANIE,https://www.aritzia.com/en/product/merino-wool-short-skull-beanie/121248.html?dwvar_121248_color=27586,https://assets.aritzia.com/image/upload/medium/f24_n02_121248_27586_on_a.jpg,$15.99
MERINO WOOL HEADBAND,https://www.aritzia.com/en/product/merino-wool-headband/121084.html?dwvar_121084_color=27586,https://assets.aritzia.com/image/upload/medium/f24_n02_121084_27586_on_a.jpg,$14.99
LIFE EXERT HEADBAND,https://www.aritzia.com/en/product/life-exert-headband/124041.html?dwvar_124041_color=1274,https://assets.aritzia.com/image/upload/medium/f24_n02_124041_1274_on_a.jpg,$7.50
MERINO WOOL CUFFED BEANIE,https://www.aritzia.com/en/product/merino-wool-cuffed-beanie/121138.html?dwvar_121138_color=27586,https://assets.aritzia.com/image/upload/medium/f24_n02_121138_27586_on_a.jpg,$23.99
TRAIN CREW SOCK 3-PACK,https://www.aritzia.com/en/product/train-crew-sock-3-pack/117743.html?dwvar_117743_color=1275,https://assets.aritzia.com/image/upload/medium/s24_14_n06_117743_1275_on_a.jpg,$28
COOL-TECH ANKLE SOCK 3-PACK,https://www.aritzia.com/en/product/cool-tech-ankle-sock-3-pack/114993.html?dwvar_114993_color=1274,https://assets.aritzia.com/image/upload/medium/s24_14_n06_114993_1274_on_a.jpg,$28
PRODUCER BLAZER,https://www.aritzia.com/en/product/producer-blazer/122897.html?dwvar_122897_color=30654,https://assets.aritzia.com/image/upload/medium/f24_a04_122897_30654_on_b.jpg,$248
POWER BLAZER,https://www.aritzia.com/en/product/power-blazer/121661.html?dwvar_121661_color=30751,https://assets.aritzia.com/image/upload/medium/s25_a04_121661_30751_on_b.jpg,$228
REGAL VEST,https://www.aritzia.com/en/product/regal-vest/115305.html?dwvar_115305_color=15104,https://assets.aritzia.com/image/upload/medium/f24_a04_115305_15104_on_b.jpg,$118
NEW GENERATION BLAZER,https://www.aritzia.com/en/product/new-generation-blazer/116425.html?dwvar_116425_color=1274,https://assets.aritzia.com/image/upload/medium/s25_a04_116425_1274_on_b.jpg,$248
CLYDE BLAZER,https://www.aritzia.com/en/product/clyde-blazer/122150.html?dwvar_122150_color=19629,https://assets.aritzia.com/image/upload/medium/f24_a04_122150_19629_on_b.jpg,$248
STANDOUT BLAZER,https://www.aritzia.com/en/product/standout-blazer/119481.html?dwvar_119481_color=15960,https://assets.aritzia.com/image/upload/medium/s25_a04_119481_15960_on_b.jpg,$248
ACCOUNT VEST,https://www.aritzia.com/en/product/account-vest/123999.html?dwvar_123999_color=23770,https://assets.aritzia.com/image/upload/medium/s25_a04_123999_23770_on_b.jpg,$118
ATTIRE VEST,https://www.aritzia.com/en/product/attire-vest/123171.html?dwvar_123171_color=30751,https://assets.aritzia.com/image/upload/medium/s25_a04_123171_30751_on_b.jpg,$118
